identifier,fw_group,city_town,survey_title,date,property_owner,neighbors,streets,notes,background_notes,related_registry_doc,surveyor,publisher,surveyor_no,fw_ref,scale,latitude,longitude,form_genre,no_sheets,pieces,sides,dimensions_in,material,condition_notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W71_C1679,,"Boston, MA",[Untitled - Foster Place / Van Rensselaer Place],1855-01-01 (Copied 1891-06-01),,Brackett; Lemist; Lodge; Simpson; Treadwell; Wolcott,Foster Place or Van Rensselaer Place (Allen's Alley),"Plan showing two lots with dimensions and sf. Notes indicate ""Figures on this plan verified, E. Hill, Dec. 99"" and ""may be Jan 27 1855 #651 - A.W. at EWB [sp?] office.""","Prior to 1852, Van Rensselaer Place was called Foster Place. ",,(Copied by H.M.),,C-1679-P,,Scale not given,42.35168519,-71.0655,Survey Plan,1,,1,8 x 10,Pencil on ruled bond paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W71_C1680,Dorchester Neck,"South Boston (Boston, MA)",[Untitled - Dorchester Avenue and First Street],1875-05-06 (Copied),,,Dorchester Avenue; First Street,Plan of five lots spread over two blocks separated by a 25-foot-wide passage. Displays Boston Harbor Commissioner's Line.,,,"Wilson, Henry W.",,C-1680-P,,1 in = 80 ft,42.33735246,-71.0434,Survey Plan,1,,1,12 x 15.5,Ink on vellum,Buckling.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W71_C1681,,"Boston, MA","Copy of Plan of Land of J. Huntington Wolcott, Boylston Street",1848-12-06 (Copied),"Wolcott, J. Huntington","Foster; Lodge, G.; Loring, E.G.; Thorndike, J.B.; Wheeler",Boylston Street; Van Rensselaer Place (Allen's Alley),"Plan of lot with building footprints, dimensions, and sf. Lot is outlined in red pencil. Contains later information added by E. Hill in 1899 including calculations based on acreage sold. Note says red lines and figures indicate 1828 plan information.",,Suffolk Unindexed Plan Bk/Pg 813/320,None provided,,C-1681-P,,1 in = 20 ft,42.35168519,-71.0655,Survey Plan,1,,1,12.5 x 19,Pencil on trace,Edge damage. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W71_C1682,,"Boston, MA",[Untitled - Lot between Boylston and Van Rensselaer Place],1850-10-03 (Copied 1891-05-29),"Wolcott, J. Huntington","Boston, City of (formerly Althorp and Wheeler); Dixwell; Thorndike, J.B.",Boylston Street; Van Rensselaer Place (Allen's Alley),"Plan of lot with building footprints, dimensions, and sf. One section is outlined in red pencil. Calculations in purple ink.",,Suffolk Unindexed Plan Bk/Pg 707/300,"Wadsworth, Alexander (Copied by C.R.P.)",,C-1682-P,,1 in = 20 ft,42.35168519,-71.0655,Survey Plan,1,,1,11.5 x 19,Pencil on trace,Edge damage. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W71_C1683,West End Land Co.,"Boston, MA",Commonwealth Avenue (formerly Brighton Avenue) from Beacon Street to Essex Street showing proposed grades with profiles.,1887-03-12 (Copied 1891-08-17),,"Abbott; Adams; Boston, City of; Bacon, Jerome B; Bowditch, J.L. et al.; Brannen et al; Commonwealth Land Association, Sanders, Orren S., Hurd, Theodore, and Guernsey, Daniel, trustees; Cousins, John E.; Heath, Charles, Heath, Charles and Atkinson, Edward, trustees; Lawrence, William R.; Roxbury Mill Corporation; Stetting, Samuel; Villard, E.; Union Land Company, Greeley, B.J. and Grew, S.C.; West End Land Company, Whitney, Henry, Branson, and Hyde, trustees;",Avon Street; Beacon Street; Brookline Avenue; Commonwealth Avenue; Essex Street;,"Plan and profiles of Commonwealth Avenue. Displays sf of lots; elevation heights and abutters' names. Several lots labelled ""Released."" Another displays building footprint. Profiles display city base line. References drawing #C-1328-P for remainder of the drawing. Sheet has been folded three times with additional side containing pasted-on piece of bond paper containing metadata. Notes indicates copied from drawing at City Hall and with additional information added on Sept. 23, 1891 by H.M. based on drawing CC 521 at City Surveyors Office. Plan had been rolled on a stick and stored in a drawer ""upstairs.'",,,(Copied by Atwood),,C-1683-P,"585, 798-801",Horiz: 1 in = 40 ft; Vert: 1 in = 5 ft,42.38371326,-71.1246,Engineering Drawing,1,,1,110 x 24,Pencil on trace; pasted on bond sheet,Edge damage. Discoloration. Tears.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W71_C1684,William Carlton Estate,"Boston, MA","William Carlton Estate, Boston, Mass.",1891-03-01 (Copied),"Carlton, William, estate of.",,Beach Street; Harrison Avenue,"Plan showing lot with 12-foot-wide passageway. Displays dimensions and line of fence. Lot outlined in red pencil (per note, not on original drawing).",,Suffolk Unindexed Plan Bk/Pg 2010/282,"Bowditch, Ernest W. (Copied by J.H.S.)",,C-1684-P,,1 in = 8 ft,42.35183458,-71.0619,Survey Plan,1,,1,14.5 x 7.5,Pencil on trace,Edge damage. Brown square blotch on one corner.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W71_C1685,Boston Harbor Wharves,"South Boston Waterfront (Boston, MA)",[Untitled - Ballard's Wharf and Commercial Street],1854-02-27 (Copied 1892-01-30),,"Ballard, George",Ballard's Wharf; Clark Street; Commercial Street; Eastern Avenue; Sargent's Wharf; Union Wharf,"Lot plan showing subdivision with 15 lots, one set numbered 1 thru 10. Displays dimensions and sf. Lots abut passageway and wooden stores. Note indicates merged with other registry drawings.",,Suffolk Unindexed Plan Bk/Pg 650/303,"Wadsworth, Alexander (Copied by H. Sanborn?)",,C-1685-P,,1 in = 40 ft,42.36578647,-71.051,Survey Plan,1,,1,16.5 x 9.5,Pencil on trace,Edge damage. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W72_C1686,Boston Harbor Wharves,"South Boston Waterfront (Boston, MA)",[Untitled - Ballard's Wharf and Commercial Street],1879-06-01 (Copied 1892-02-01),,"Adam, Horatio; Bassett, Zephnniah; Bergen, Patrick; Dyer, Micah; Parkman, Frances; Richardson, Seth; Robbins, James M.; Vose, Thomas B.; Webster, John; Whitney, M.",Ballard's Wharf; Commercial Street; Sargent's Wharf,"Plan showing multiple lots divided by a passageway. Lots feature occupants' names, dimensions, and sf. Note indicates this is an unfinished copy of part of plan at City Hall.",,,(Copied),,C-1686-P,,1 in = 20 ft,42.36578647,-71.051,Survey Plan,1,,1,24 x 16,Pencil on trace,Edge damage. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W72_C1687,Boston Harbor Wharves,"South Boston Waterfront (Boston, MA)",Copy of part of plan of Commercial Street and Eastern Railroad Depot belonging to Russell & Standish - for sale,1843-06-02 (Copied),Russell & Standish,,Commercial Street; Eastern Avenue; Fleet Street; Sargent's Wharf,Plan showing lots on either side of Eastern Avenue; one set numbered 12 through 27. Lots display dimensions. Also location of two boat slips.,Version filed in Suffolk Registry indicates that this was to be site of new railroad depot and hotel.,Suffolk Unindexed Plan Bk/Pg 506/39,"Bryant, G.J.F. (Copied by Wilson, H.W.)",,C-1687-P,,1 in = 4 ft,42.36578647,-71.051,Survey Plan,1,,1,14 x 9,Pencil on trace,Edge damage. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W72_C1688,,"Boston, MA",[Copied from plan 133 - Harrison & Oak Streets],1871-11-27 (Copied 1892-01-27),,"Blackie, John; Hunnewell, H. Hollis; Peyser, Dorothea; Rowe, Anna; Scott, James; Warren, William; Winthrop, R.C.",Harrison Avenue; Maple Place; Nassau Street; Oak Street,Plan showing lots along Harrison Avenue with sidewalks displaying dimensions and sf. Building facade lines outlined in red pencil.,,,"(Copied by Sanborn, H.)",,C-1688-P,,1 in = 20 ft,42.34822121,-71.0626,Survey Plan,1,,1,22 x 14,Pencil on trace,Edge damage. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W72_C1689,,"Boston, MA",[Copied from plan 488 - Harrison & Oak Streets],1884-01-01 (Copied 1892-01-27),,,Harrison Avenue; Maple Place; Nassau Street; Oak Street,Schematic plan showing outline of streets and lots at sidewalk edges. Note indicates copied from plan 488 at city surveyor's office. ,,,"(Copied by Sanborn, H.)",,C-1689-P,,Scale not given,42.34822121,-71.0626,Survey Plan,1,,1,24 x 14.5,Pencil on trace,Edge damage. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W72_C1690,,"Boston, MA",[Huntington Entrance - Back Bay Fens],1888-09-01 (Copied 1892-01-23),,,Fenway; Huntington Entrance [Forsythe Way],"Layout showing outline of streets, plants, and bodies of water. Displays grid of dashed lines and location of water lines and stairwells. Note indicates copied from plan 488 at city engineer's office. ","See Olmsted Archives Job#916, Drawing 0916-148 for blueprint version (https://olmstedonline.org/Job/Details/00916).",,(Copied by C.H.E.),,C-1690-P,,1 in = 40 ft,42.34084212,-71.0935,Engineering Drawing,1,,1,28 x 24,Pencil on trace,Edge damage. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W72_C1691,,"Dorchester (Boston, MA)",Plan of Land in Dorchester belonging to Matthew Dalton. Subdivided and drawn.,1885-02-02 (Copied 1892-01-21),"Dalton, Matthew","Clapp, Amasa; Clapp, L. & E.; Leech",Buttonwood Street; Dorchester Avenue; Locust Avenue,"Subdivision plan showing Lots A thru F and Lots No. 34, 35, 38, 40. Lots display dimensions, sf, and selected sale or ownership information. Notes indicate some lots referenced on plan dated 1854-12-15 as drawn by John H. Rice, surveyor (surveyor and successor to L. Briggs & Co.) and recorded in Norfolk Deeds Registry (Plan of Lands lying East of Dorchester Avenue).",,Norfolk Plan #D0335-18; Suffolk Unindexed Plan Bk/Pg 1809/485,"Rice, John R. (Copied by C.A. Evans)",,C-1691-P,,1 in = 40 ft,42.32347441,-71.0567,Survey Plan,1,,1,9.5 x 15,Pencil on trace,Buckling.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W72_C1692,"Keenan, P.J.","Watertown, MA",Plan of Land belonging to P.J. Keenan,1890-01-01,"Keenan, P.J.","Coffin, Dorcas J.",Arlington Street; Mount Auburn Street; Prentiss Street,Subdivision plan showing 8 lots with dimensions and sf.,,,"Jackson, C.F.",,C-1692-P,,1 in = 50 ft,42.37267086,-71.1563,Survey Plan,1,,1,12 x 12.5,Blueprint,Edge damage. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W72_C1693,,"Boston, MA",[Untitled - Foster Place / Van Rensselaer Place],1845-05-14,,"Ames, Samuel T.; Chipman, Charles; Dixwell, E.S.; Foster, William, heirs; Motley, John Lothrop; Thorndike, L.P.; Wheeler, Benjamin",Boylston Street; Foster Place {Defunct],"Subdivision plan showing lots with dimensions and sf, select owners, and property deed references. Lines and markings are in either black or blue pencil; notes indicate pencil colors related to copies and that Whitney received plan from Mr. Carret in 1891 and returned it in 1899.",,Suffolk Unindexed Plan Bk/Pg 707/300; 813/320; 1871-97,"Fuller, Stephen P. (Copied by Hill, E.)",,C-1693-P,,1 in = 20 ft,42.35168519,-71.0655,Survey Plan,1,,1,16 x 20.5,Pencil on trace,Edge damage. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W72_C1694,,"Malden, MA","[Untitled - Copy of portion of plan at City Engineer's Office, Malden - Summer Street]",1858-08-01 (Copied),,"Boston & Maine Railroad; Harnden, John",Pleasant Street,Plan showing location of station next to railroad tracks with dashed line representing possibly a new street.,The original Malden Train station opened in 1845.,,"Sargent, John (Copied)",,C-1694-P,,1 in = 30 ft,42.42720846,-71.0745,Survey Plan,1,,1,14 x 11,Pencil on trace,Buckling. Tears.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W72_C1695,,"Boston, MA","[Untitled - Copy of Plan of Berkeley, Tremont, and Warren Street]",(Copied 1891-10-23),,,Berkeley Street; Tremont Street; Warren Street,"Lot plan showing dimensions, sf, and location mark of a large lot as well as an abutting 12 ft wide passageway and smaller lot. Main lot outlined in red pencil. Notes indicate copied from plan #466 in J.F. Fuller's office and plan does not include pier lines shown on original plan.","Per urban atlases, property was the site of Odd Fellows Hall, built in 1871 as a fraternal lodge.",,"Fuller, J. Franklin (Copied by H.M.)",,C-1695-P,,1 in = 10 ft,42.34532046,-71.0703,Survey Plan,1,,1,19 x 20.5,Pencil on trace,Buckling. Tears.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W72_C1696,,"Boston, MA",Copy of Plan of land belonging to Boston Water Power,(Copied 1891-12-02),,"Bowditch, H.I.; Chandler, T.W.; Ellis, Calvin; Guild, E.H.; Parkman, Mary; Peters, G.H.; ",Boylston Street; Providence Street; Public Gardens,"Subdivision plan showing 6 lots with occupant's names, lot dimensions. Note indicates based on registry drawing.",,Suffolk Unindexed Plan Bk/Pg 753/73,"Whitwell, W.S. (Copied by Whitney, William H.)",,C-1696-P,,1 in = 40 ft,42.35171047,-71.0708,Survey Plan,1,,1,10 x 12.5,Pencil on trace,Buckling. Edge damage. Stain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W72_C1697,,"Boston, MA",[Caledonia Street and Huntington Avenue],1891-07-03 (Copied 1891-07-21),,,Caledonia Street [Defunct]; Huntington Avenue,"Lot plan of 9,875 sf lot with dimensions and notes related to walls at property line. Abuts 10 ft wide passageway. Note indicates copied from a blueprint.",,,"Morrison, J. W. (Copied by Sanborn, H.)",,C-1697-P,"102, 103, 104",1 in = 8 ft,42.34417043,-71.0836,Survey Plan,1,,1,24 x 18.5,Pencil on trace,Edge damage. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W72_C1698,,"Boston, MA",Copy of Portion of Plan of Prospective Widening of Pleasant Street,1890-01-01 (Copied 1891-10-02),,,Pleasant Street [Defunct]; Spear Place [Defunct]; Washington Street,Street layout showing lots with sf and select dimensions and lines of existing and proposed street sides. Lots are shaded in either yellow or red. Note indicates copied from plan at city hall.,,,"(Copied by Hardy, J.B.)",,C-1698-P,,1 in = 20 ft,42.34786435,-71.065,Survey Plan,1,,1,14 x 12.5,Pencil on trace,Edge damage. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W72_C1699,,"Boston, MA",Copy of Portion of Plan of Prospective Widening of Pleasant Street,1890-01-01 (Copied 1891-10-02),,,Pleasant Street [Defunct]; Pleasant Street Place [Defunct]; Shawmut Street; Tennyson Street [Defunct],Street layout showing lots with sf and select dimensions and lines of existing and proposed street sides. Includes selected street numbers. Lots are shaded in either yellow or red. Note indicates copied from plan at city hall.,,,"(Copied by Hardy, J.B.)",,C-1699-P,,1 in = 20 ft,42.34786435,-71.065,Survey Plan,1,,1,14 x 9,Pencil on vellum,Edge damage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W72_C1700,,"Boston, MA",[Untitled - Ohio and Washington Streets],1882-08-26 (Copied 1891-10-02),,"Bartlett, Edward J.; Thorndike, William M.",Ohio Street [Marginal Road]; Washington Street,Lot plan showing dimensions and sf of 3 lots abutted by passageway. Lot abutting Washington Street is outlined in red and indicates is to be taken by City of Boston. Copied from registry filing.,,Suffolk Unindexed Plan Bk/Pg 1571/35,"Perkins, Charles C. (Copied by H.M.)",,C-1700-P,,1 in = 5 ft,42.34764199,-71.0645,Survey Plan,1,,1,8 x 10,Pencil on ruled bond paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W73_C1701,,"Boston, MA",[Untitled - Ohio and Washington Streets],1888-03-08 (Copied 1891-09-30),,"Bartlett, Edward J.; Child, M.S.; Thorndike, William M.; Tilton, Joseph F.",Ohio Street [Marginal Road]; Spear Place [Defunct]; Washington Street,Lot plan showing dimensions and sf of lot abutted by passageway. Lot is outlined in red and displays outlines of wooden tenements and a brick building. Note indicates copied from C. E. Stratton (sp?).,,,"Fuller, J. Franklin (Copied by H.M.)",,C-1701-P,,1 in = 8 ft,42.34764199,-71.0645,Survey Plan,1,,1,22.5 x 15.5,Pencil on trace,Edge damage. Buckling.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W73_C1702,,"Boston, MA",[Untitled - Pleasant and Washington Streets],1840-04-04 (Copied 1891-09-26),,"Hunt, Matthew M.; Leeds",Ohio Street [Marginal Road]; Pleasant Street [Defunct],Lot plan showing dimensions and sf of lot. Lot is outlined in red and displays outlines of a brick building.,,,"Wadsworth, Alexander (Copied by H.M.)",,C-1702-P,,1 in = 10 ft,42.34764199,-71.0645,Survey Plan,1,,1,10.5 x 14,Ink on manilla,Buckling. Edge damage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W73_C1703,,"Boston, MA",[Untitled - Orange and Pleasant Streets],1793-08-01 (Copied 1891-10-02),,"Faxon, Richard; Spear, John; Spear, Nathaniel; Spear, Thomas; Wheeler",Orange Street [Defunct]; Pleasant Street [Defunct]; Spear Place [Defunct]; Washington Street,Block layout with 12' wide passageway showing 5 numbered lots with dimensions and notes regarding walls. Contains [illegible] notations about lot privileges.,Thomas Spear was a participant in the Boston Tea Party.,Suffolk Unindexed Plan Bk/Pg 176/272,"Mead, Israel (Copied by Hardy, J.B.)",,C-1703-P,,1 in = 10 ft,42.34786435,-71.065,Survey Plan,1,,1,26 x 8.5,Pencil on trace,Buckling.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W73_C1704,,"Jamaica Plain (Boston, MA)",[Untitled - Forest Hills and Washington Streets],Not identified,,"Clarke, James Freeman",Forest Hills Street; Washington Street,"Plan showing 4 lots with dimensions; one lot shows owner's name. Note indicates copied from City Surveyors' Office with house, drives, and other features omitted.",Clarke was a unitarian minister and expert on comparative religions.,,"Jones, J. Edward (Copied by W.H.T.)",,C-1704-P,,1 in = 30 ft,42.30950905,-71.1033,Survey Plan,1,,1,15 x 11,Pencil on trace,Buckling. Edge damage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W73_C1706,Alvin Adams Estate Plans,"Watertown, MA",Plan of Land in Watertown owned by Edward L. Adams,1862-01-01 (Copied 1892-04-29),"Adams, Edward L.","Coolidge; Frazier, George; Hurd, John",Mount Auburn Street; School Street,Lot plan showing large lot trisected by dashed lines presenting walls with dimensions and sf. Area expressed in acre and rod units.,Edward Livingston Adams was a son of Alvin Adams.,,"Mason, W.A. & Barbour, W.S.",,C-1706-P,,1 in = 50 ft,42.37077235,-71.1651,Survey Plan,1,,1,33 x 21,Pencil on trace,Buckling. Edge damage. Holes along center fold.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W73_C1707,Alvin Adams Estate Plans,"Watertown, MA",Plan of Land in Watertown owned by Jeremiah Russell,1859-09-01 (Copied 1892-04-30),"Russell, Jeremiah","Gay; Pratt; Stearns, S.;",Mount Auburn Street; School Street,Lot plan showing 14-acre lot with dimensions and area in acres and rods.,,,"Mason, W.A.",,C-1707-P,,1 in = 50 ft,42.37077235,-71.1651,Survey Plan,1,,1,28 x 23.5,Pencil on trace,Buckling. Edge damage. Folded.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W73_C1708,,"Watertown, MA",Plan of premises in East Watertown belonging to Sam'l S. Gleason,1892-02-12 (Copied 1892-07-29),"Gleason, Samuel L.",Sacred Heart Church ,Belmont Street; 770 Mount Auburn Street,Subdivision plan showing 9 lots with dimensions and sf. One lot contains building footprint.,,,"Mason, W.A. (Copied by C.I.H.)",,C-1708-P,,1 in = 20 ft,42.37455639,-71.1511,Survey Plan,1,,1,28 x 17.5,Pencil on trace,Buckling.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W73_C1709,,"Boston, MA",[Untitled - Devonshire and Milk Street],1890-09-28 (Copied),,"Minot, William et al; Phelps, J.T.",Devonshire Street; Milk Street,"Lot plan showing 2,835 sf lot with dimensions and details regarding center lines of walls with abutters. Note indicated copied from plan loaned by W.H. Sprague.","Per urban atlases, lot may have been occupied by International Trust Co.",,"Ellis, S.C. (Copied by I.H.S.)",,C-1709-P,,1 in = 8 ft,42.35684025,-71.0574,Survey Plan,1,,1,19 x 12,Pencil on trace,Buckling. Edge damage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W73_C1710,"Centre Street, JP","Jamaica Plain (Boston, MA)",[Untitled - Centre Street and Houghton Place],1889-03-20 (Copied 1892-03-22),,,Bolster Street; Centre Street; Houghton Place [Mozart Street],"Lot plan showing dimensions and sf. Note indicates a true copy by Henry W. Mclean, C.E., of plan filed at Registry.",Garbett & Wood were Boston surveyors William A. Garbett and Charles Henry Wilkes Wood. Garbett also did numerous surveys as sole proprietor; see https://collections.leventhalmap.org/search/commonwealth:9s161f81w,Suffolk Unindexed Deed Bk/Pg 1883/505,Garbett & Wood (Copied by H.M.),,C-1710-P,,1 in = 30 ft,42.3231851,-71.1041,Survey Plan,1,,1,8 x 10,Pencil on ruled bond paper,Stains.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W73_C1711,Neponset Avenue / Tolman Estate,"Dorchester (Boston, MA)","[Untitled - College Marsh, Neponset]",1881-07-08,,"Minot, Nathaniel; Old Colony Railroad",Neponset Avenue,"Plan showing lot with dimensions surrounded by 7 numbered lots and straddling a river. Note indicates that plan is of ""College Marsh"" Neponset and attributed to Morse [?], copied from tracing. Highlights line between ""upland and marsh.""","Per Norfolk Registry of Deeds, Minott (Minot) sold various lots in the early 1800s. Waterway shown on map probably is Pine Neck.",,Moses (Copied by W.N.T.),,C-1711-P,,Scale not given,42.28725833,-71.0439,Survey Plan,1,,1,9.5 x 6,Pencil on trace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W73_C1712,Neponset Avenue / Tolman Estate,"Dorchester (Boston, MA)",[Untitled - Tolman Street - Plan No. 1],1880-07-01,,"Connelly; Putnam, Silas S.; Robertson, Joseph W.; Tolman, Joseph, heirs; Old Colony Railroad",Neponset Avenue; Norwood Street; Pine Neck Creek; Tolman Street,"Plan showing 8 lots labelled A thru K with dimensions and sf. Two lots bordering Pine Neck Creek labeled as ""marsh"" or ""upland."" Note indicates land ""heretofore held in common by Mary W. Sumner and Elizabeth S. Tolman & others claimants under the will of Nathaniel Tolman."" Copier's note indicates ""some omission N. of Tolman Street. Based on registry plan. Labeled as Plan No. 1 (Plan No. 2 available in Suffolk Registry).",,Suffolk Unindexed Deed Bk/Pg 1513/20,"Briggs, Luther, Jr. (Copied by W.N.T.)",,C-1712-P,,1 in = 150 ft,42.2869956,-71.0445,Survey Plan,1,,1,8.5 x 15.5,Pencil on trace,Edge damage. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
